 	Area	StdDev	XM	YM	Slice
427	458	8538.584	433.452	155.758	142
428	717	1821.685	289.329	136.007	143
429	486	6162.276	361.730	152.840	143
430	516	6300.738	433.222	155.849	143
431	936	1322.419	289.062	135.754	144
432	540	3195.344	361.529	152.609	144
433	563	3436.518	432.846	155.412	144
434	569	3305.499	289.210	136.535	145
435	436	8512.995	361.797	152.615	145
436	456	8565.006	433.471	154.969	145
437	713	1765.189	289.251	136.155	146
438	491	6184.864	361.880	152.454	146
439	514	6315.852	433.348	154.999	146
440	948	1328.096	289.053	135.910	147
441	533	3231.948	361.700	152.237	147
442	565	3427.180	433.057	154.766	147
443	560	3377.877	289.156	136.907	148
444	428	8556.941	361.944	152.512	148
445	458	8568.724	433.587	154.941	148
446	717	1887.824	289.060	136.283	149
447	488	6226.002	361.846	152.145	149
448	516	6327.861	433.300	154.793	149
449	944	1321.176	288.964	135.844	150
450	536	3247.728	361.760	151.931	150
451	557	3432.490	433.094	154.439	150
452	554	3475.202	288.527	136.823	151
453	431	8547.603	361.600	152.024	151
454	455	8615.283	433.275	154.101	151
455	709	1889.750	288.334	136.358	152
456	484	6228.342	361.529	151.734	152
457	514	6411.303	433.018	153.852	152
458	934	1322.562	288.180	136.013	153
459	532	3284.466	361.513	151.585	153
460	551	3491.736	432.855	153.689	153
461	541	3546.128	288.177	136.669	154
462	434	8536.590	361.500	151.804	154
463	456	8602.762	433.117	153.713	154
464	707	2006.620	287.873	136.143	155
465	487	6179.699	361.339	151.531	155
466	510	6389.391	432.837	153.610	155
467	926	1335.171	287.795	135.731	156
468	531	3227.113	361.303	151.296	156
469	563	3369.243	432.601	153.394	156
470	544	3587.051	288.013	136.876	157
471	439	8499.594	361.206	151.546	157
472	459	8566.798	432.840	153.086	157
473	701	1989.799	287.717	136.476	158
474	490	6129.649	361.018	151.339	158
475	514	6292.505	432.461	153.089	158
476	924	1345.688	287.710	135.885	159
477	542	3231.385	360.907	150.900	159
478	558	3436.871	432.184	152.302	159
479	548	3619.200	288.137	136.455	160
480	436	8509.582	361.154	151.024	160
481	467	8456.810	432.774	152.660	160
482	688	2038.628	287.845	136.207	161
483	488	6159.753	361.053	150.820	161
484	513	6227.146	432.528	152.432	161
485	200	318.372	348.246	102.244	162
486	916	1359.525	287.710	135.804	162
487	532	3222.223	360.991	150.539	162
488	564	3365.800	432.288	152.112	162
489	547	3635.845	288.514	136.182	163
490	434	8469.925	361.429	150.384	163
491	464	8443.470	433.044	151.644	163
492	685	2052.259	288.309	136.052	164
493	489	6087.157	361.320	150.225	164
494	512	6070.985	432.801	151.657	164
495	909	1370.090	287.950	135.781	165
496	537	3199.349	361.117	150.006	165
497	565	3291.112	432.439	151.293	165
498	546	3674.146	288.368	136.756	166
499	439	8447.448	361.398	150.159	166
500	473	8333.388	433.016	151.403	166
501	680	2066.576	288.072	136.631	167
502	489	6092.365	361.253	149.901	167
503	512	6063.654	432.722	151.172	167
504	907	1374.031	287.900	136.250	168
505	543	3192.493	361.180	149.726	168
506	571	3227.304	432.507	151.008	168
507	540	3664.821	288.149	136.869	169
508	437	8491.515	361.264	149.546	169
509	469	8383.252	432.893	150.455	169
510	679	2085.649	287.959	136.554	170
511	487	6109.855	361.189	149.269	170
512	513	6070.387	432.680	150.216	170
513	893	1375.715	287.796	136.244	171
514	536	3191.805	361.078	149.099	171
515	570	3265.976	432.428	149.910	171
516	530	3781.376	287.581	137.338	172
517	439	8462.239	360.890	149.154	172
518	471	8394.486	432.508	149.765	172
519	674	2137.239	287.416	136.947	173
520	487	6079.131	360.840	148.736	173
521	515	6077.438	432.313	149.442	173
522	201	291.368	347.424	100.470	174
523	888	1412.024	287.205	136.629	174
524	537	3167.412	360.727	148.610	174
525	572	3271.226	432.062	149.289	174
526	530	3683.928	287.609	137.606	175
527	439	8434.180	360.868	148.848	175
528	478	8294.496	432.512	149.298	175
529	688	2087.812	287.389	137.204	176
530	492	6056.591	360.820	148.449	176
531	516	6072.411	432.294	148.982	176
532	908	1421.075	287.323	136.887	177
533	537	3196.468	360.727	148.240	177
534	568	3280.940	432.022	148.580	177
535	532	3671.796	287.521	137.480	178
536	436	8468.246	360.812	148.587	178
537	468	8402.260	432.367	148.922	178
538	688	2080.136	287.274	137.204	179
539	489	6129.182	360.661	148.340	179
540	514	6101.623	432.127	148.565	179
541	918	1453.268	287.129	136.809	180
542	534	3199.650	360.646	147.948	180
543	566	3304.251	431.961	148.280	180
544	520	3729.529	287.466	137.380	181
545	432	8574.132	360.709	148.269	181
546	457	8528.595	432.357	148.354	181
547	681	2138.909	287.227	137.244	182
548	487	6250.774	360.645	148.055	182
549	511	6277.459	432.096	148.240	182
550	899	1463.414	287.022	137.032	183
551	536	3314.734	360.550	147.769	183
552	563	3382.882	431.873	148.013	183
553	514	3640.020	287.659	137.547	184
554	426	8650.913	360.778	148.218	184
555	456	8595.397	432.416	148.487	184
556	209	419.313	305.521	92.605	185
557	690	2149.881	287.485	137.395	185
558	482	6346.306	360.708	148.117	185
559	514	6368.645	432.189	148.478	185
560	902	1458.970	287.208	137.237	186
561	528	3359.385	360.600	147.865	186
562	559	3467.468	431.850	148.293	186
563	522	3588.399	287.829	137.173	187
564	421	8683.223	360.738	148.338	187
565	454	8615.943	432.391	148.707	187
566	683	2079.230	287.819	137.102	188
567	486	6342.262	360.760	148.272	188
568	510	6455.070	432.208	148.768	188
569	907	1410.230	287.576	137.061	189
570	531	3347.249	360.559	148.022	189
571	550	3531.672	431.847	148.431	189
572	524	3596.832	287.761	137.246	190
573	428	8602.201	360.633	148.443	190
574	460	8536.117	432.249	148.650	190
575	692	2005.231	287.735	136.949	191
576	489	6258.811	360.644	148.175	191
577	513	6310.643	432.089	148.545	191
578	919	1394.611	287.698	136.959	192
579	533	3290.215	360.550	148.106	192
580	559	3397.543	431.847	148.457	192
581	224	412.482	306.197	92.355	193
582	530	3669.492	288.252	137.669	193
583	429	8545.785	361.076	148.403	193
584	476	8265.081	432.730	148.610	193
585	685	2020.419	288.159	137.415	194
586	485	6187.813	361.084	148.055	194
587	513	5918.637	432.589	148.267	194
588	919	1322.878	288.071	137.231	195
589	537	3271.713	360.948	147.937	195
590	579	3190.512	432.263	148.270	195
591	538	3533.358	288.388	137.115	196
592	434	8547.575	361.084	148.227	196
593	481	8195.670	432.713	148.325	196
594	695	1973.534	288.324	136.882	197
595	489	6198.687	361.070	147.900	197
596	514	5771.594	432.577	148.182	197
597	926	1307.083	288.357	136.571	198
598	589	3102.893	432.429	147.833	198
599	536	3257.013	361.081	147.748	198
600	540	3516.778	288.560	136.858	199
601	436	8476.531	361.242	148.235	199
602	482	8092.457	432.873	148.229	199
603	694	1987.422	288.447	136.528	200
604	490	6148.248	361.144	147.854	200
605	517	5738.616	432.624	147.882	200
606	921	1283.334	288.460	136.097	201
607	604	3066.687	432.334	147.543	201
608	538	3237.924	360.997	147.607	201
609	526	3545.156	288.566	136.560	202
610	489	8024.429	432.643	148.121	202
611	433	8472.975	361.003	148.207	202
612	692	2014.432	288.397	136.380	203
613	487	6127.608	360.921	147.921	203
614	516	5601.039	432.395	147.830	203
615	917	1259.057	288.422	135.921	204
616	609	2996.556	432.162	147.682	204
617	541	3210.985	360.836	147.687	204
618	525	3529.367	288.893	136.928	205
619	441	8431.127	361.074	148.335	205
620	485	8002.067	432.729	148.313	205
621	685	1995.160	288.740	136.800	206
622	491	6082.200	360.973	148.146	206
623	519	5524.985	432.435	148.146	206
624	909	1238.644	288.771	136.427	207
625	603	3005.756	432.253	147.981	207
626	542	3188.050	360.892	147.850	207
627	542	3517.317	289.008	137.232	208
628	440	8409.672	361.215	148.561	208
629	486	7968.421	432.830	148.959	208
630	701	1987.768	288.871	137.144	209
631	486	6054.731	361.086	148.433	209
632	513	5539.382	432.543	148.773	209
633	927	1268.023	288.794	136.789	210
634	543	3172.752	361.004	147.976	210
635	611	2971.473	432.311	148.336	210
636	548	3513.376	289.248	137.498	211
637	444	8340.037	361.322	148.583	211
638	493	7836.006	432.908	148.924	211
639	703	1944.835	289.037	137.496	212
640	489	5946.582	361.157	148.385	212
641	514	5320.049	432.607	148.651	212
642	940	1296.529	288.896	137.211	213
643	548	3124.805	360.984	148.062	213
644	621	2890.155	432.339	148.575	213
645	542	3473.707	289.276	137.577	214
646	450	8325.501	361.371	148.535	214
647	496	7752.051	432.969	148.853	214
648	704	1913.977	289.112	137.552	215
649	488	5929.436	361.298	148.400	215
650	522	5220.964	432.744	148.923	215
651	952	1317.408	288.937	137.194	216
652	547	3090.255	361.105	148.130	216
653	636	2863.445	432.446	148.706	216
654	542	3501.065	289.014	137.510	217
655	445	8322.508	361.334	148.526	217
656	493	7731.525	432.917	149.081	217
657	703	1947.854	288.861	137.433	218
658	487	5934.373	361.227	148.443	218
659	519	5207.866	432.689	149.068	218
660	939	1304.387	288.722	137.245	219
661	549	3121.522	361.109	148.140	219
662	638	2856.742	432.465	148.691	219
663	550	3426.576	289.262	137.915	220
664	444	8342.123	361.413	148.400	220
665	494	7731.991	432.991	148.767	220
666	706	1893.571	289.053	137.881	221
667	487	5973.889	361.305	148.290	221
668	517	5126.837	432.715	148.741	221
669	948	1300.829	289.078	137.798	222
670	547	3130.737	361.266	148.136	222
671	626	2850.411	432.569	148.535	222
672	545	3440.660	289.227	138.643	223
673	493	7878.856	433.031	148.936	223
674	442	8421.610	361.472	148.714	223
675	707	1888.367	289.045	138.279	224
676	492	6043.517	361.420	148.385	224
677	514	5343.820	432.862	148.668	224
678	949	1316.095	288.986	138.404	225
679	542	3146.073	361.313	148.375	225
680	632	2885.085	432.723	148.865	225
681	548	3460.742	289.210	139.028	226
682	498	7756.320	433.068	149.297	226
683	442	8395.999	361.520	149.049	226
684	710	1872.469	289.104	138.531	227
685	490	6015.919	361.454	148.621	227
686	520	5198.704	432.924	148.918	227
687	960	1303.412	289.158	138.547	228
688	638	2817.657	432.808	148.898	228
689	540	3110.803	361.472	148.514	228
690	558	3512.754	289.506	139.039	229
691	444	8373.533	361.729	149.197	229
692	492	7746.791	433.355	149.556	229
693	708	1873.753	289.426	138.742	230
694	491	6000.490	361.672	148.992	230
695	522	5105.791	433.076	149.391	230
696	945	1282.639	289.343	138.519	231
697	641	2801.281	432.890	149.225	231
698	542	3138.820	361.554	148.738	231
699	542	3479.025	289.810	138.729	232
700	443	8408.640	361.903	149.459	232
701	495	7773.041	433.520	149.783	232
702	704	1857.133	289.633	138.428	233
703	488	6060.708	361.768	149.228	233
704	518	5163.768	433.220	149.662	233
705	955	1320.709	289.529	138.320	234
706	631	2847.532	433.089	149.214	234
707	541	3165.876	361.704	148.867	234
708	551	3518.767	289.996	138.824	235
709	496	7815.592	433.718	149.934	235
710	430	8525.835	362.113	149.561	235
711	717	1881.052	289.652	138.512	236
712	489	6115.141	361.961	149.372	236
713	517	5296.644	433.400	149.776	236
714	964	1354.133	289.555	138.518	237
715	541	3203.326	361.881	149.102	237
716	634	2872.618	433.234	149.506	237
717	539	3429.047	290.218	138.770	238
718	435	8469.897	362.111	149.881	238
719	493	7845.167	433.723	150.611	238
720	720	1901.360	289.954	138.576	239
721	489	6130.694	362.027	149.694	239
722	517	5221.519	433.459	150.646	239
723	963	1365.202	289.823	138.506	240
724	537	3192.320	361.946	149.323	240
725	632	2851.773	433.270	150.258	240
726	545	3430.129	290.573	139.283	241
727	425	8552.125	362.452	150.027	241
728	495	7802.285	433.990	150.683	241
729	720	1927.702	290.280	139.185	242
730	490	6150.836	362.303	149.846	242
731	514	5313.554	433.771	150.636	242
732	955	1448.444	289.875	139.233	243
